"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Chittor","Chittoor","Gur(Jaggery)","NO 2","12/11/2019","2995","3220","3100"
"Andhra Pradesh","Chittor","Kalikiri","Tomato","Local","12/11/2019","660","1600","1200"
"Andhra Pradesh","Chittor","Mulakalacheruvu","Tomato","Local","12/11/2019","700","1600","1200"
"Andhra Pradesh","Chittor","Pakala","Groundnut","Local","12/11/2019","4800","5000","4900"
"Andhra Pradesh","Chittor","Palamaner","Beetroot","Beetroot","12/11/2019","1000","3000","2000"
"Andhra Pradesh","Chittor","Palamaner","Bhindi(Ladies Finger)","Bhindi","12/11/2019","1500","2500","2000"
"Andhra Pradesh","Chittor","Palamaner","Bitter gourd","Bitter Gourd","12/11/2019","500","1500","1000"
"Andhra Pradesh","Chittor","Palamaner","Bottle gourd","Bottle Gourd","12/11/2019","500","1500","1000"
"Andhra Pradesh","Chittor","Palamaner","Brinjal","Brinjal","12/11/2019","1000","2000","1500"
"Andhra Pradesh","Chittor","Palamaner","Cabbage","Cabbage","12/11/2019","375","875","625"
"Andhra Pradesh","Chittor","Palamaner","Carrot","Carrot","12/11/2019","3500","5500","4500"
"Andhra Pradesh","Chittor","Palamaner","Cauliflower","Cauliflower","12/11/2019","700","1700","1300"
"Andhra Pradesh","Chittor","Palamaner","Cluster beans","Cluster Beans","12/11/2019","1000","2000","1500"
"Andhra Pradesh","Chittor","Palamaner","Cucumbar(Kheera)","Cucumbar","12/11/2019","250","500","375"
"Andhra Pradesh","Chittor","Palamaner","Green Chilli","Green Chilly","12/11/2019","1000","2000","1500"
"Andhra Pradesh","Chittor","Palamaner","Potato","(Red Nanital)","12/11/2019","1000","2000","1500"
"Andhra Pradesh","Chittor","Palamaner","Raddish","Raddish","12/11/2019","750","1250","1000"
"Andhra Pradesh","Chittor","Palamaner","Ridgeguard(Tori)","Ridgeguard(Tori)","12/11/2019","1000","2500","1500"
"Andhra Pradesh","Chittor","Palamaner","Tomato","Deshi","12/11/2019","200","1600","700"
"Andhra Pradesh","Chittor","Piler","Tomato","Deshi","12/11/2019","750","1250","1000"
"Andhra Pradesh","Chittor","Punganur","Tomato","Hybrid","12/11/2019","470","1140","800"
"Andhra Pradesh","Chittor","Rompicherla","Gur(Jaggery)","NO 2","12/11/2019","3325","3325","3325"
"Andhra Pradesh","Chittor","Srikalahasti","Paddy(Dhan)(Common)","B P T","12/11/2019","2200","2400","2266"
"Andhra Pradesh","Chittor","Vayalapadu","Tomato","Local","12/11/2019","480","2400","1440"
"Andhra Pradesh","Guntur","Krosuru","Cotton","Bramha","12/11/2019","3800","4200","4000"
"Andhra Pradesh","Guntur","Krosuru","Paddy(Dhan)(Common)","1001","12/11/2019","2000","2400","2200"
"Andhra Pradesh","Kurnool","Alur","Jowar(Sorghum)","Jowar ( White)","12/11/2019","2550","2570","2560"
"Andhra Pradesh","Kurnool","Alur","Maize","Local","12/11/2019","1760","1800","1780"
"Andhra Pradesh","Kurnool","Nandyal","Bengal Gram(Gram)(Whole)","Desi (Whole)","12/11/2019","4670","4800","4750"
"Andhra Pradesh","Kurnool","Nandyal","Jowar(Sorghum)","Jowar (Yellow)","12/11/2019","2500","2670","2550"
"Andhra Pradesh","Kurnool","Nandyal","Paddy(Dhan)(Common)","Sona Mahsuri","12/11/2019","1800","1900","1850"
"Andhra Pradesh","Kurnool","Nandyal","Rice","Sona Fine","12/11/2019","3750","4050","3900"
"Andhra Pradesh","Kurnool","Pattikonda","Bengal Gram(Gram)(Whole)","Jawari/Local","12/11/2019","4800","5000","4900"
"Andhra Pradesh","Kurnool","Pattikonda","Onion","Local","12/11/2019","2500","3000","2800"
"Andhra Pradesh","Kurnool","Pattikonda","Tomato","Local","12/11/2019","400","2000","1200"
"Andhra Pradesh","West Godavari","Chintalapudi","Paddy(Dhan)(Common)","1001","12/11/2019","1700","1815","1750"
"Andhra Pradesh","West Godavari","Palakole","Paddy(Dhan)(Common)","MTU-1010","12/11/2019","1820","1850","1835"
"Andhra Pradesh","West Godavari","Palakole","Paddy(Dhan)(Common)","Swarna Masuri (OLD)","12/11/2019","1850","1950","1900"
"Andhra Pradesh","West Godavari","Tanuku","Paddy(Dhan)(Common)","MTU-1010","12/11/2019","1800","1830","1815"
"Assam","Dibrugarh","Dibrugarh","Arhar Dal(Tur Dal)","Arhar Dal(Tur)","12/11/2019","6600","6700","6650"
"Assam","Dibrugarh","Dibrugarh","Bengal Gram(Gram)(Whole)","Kabul ","12/11/2019","5100","5300","5200"
"Assam","Dibrugarh","Dibrugarh","Green Gram (Moong)(Whole)","Green Gram Dhall-I","12/11/2019","6400","7000","6750"
"Assam","Dibrugarh","Dibrugarh","Masur Dal","Masur Dal","12/11/2019","5000","6000","5700"
"Assam","Dibrugarh","Dibrugarh","Onion","Nasik","12/11/2019","4600","4900","4800"
"Assam","Dibrugarh","Dibrugarh","Potato","Local","12/11/2019","1200","1500","1300"
"Assam","Dibrugarh","Dibrugarh","Rice","Common","12/11/2019","2450","3500","3100"
"Assam","Dibrugarh","Dibrugarh","Wheat","Medium","12/11/2019","1880","1940","1900"
"Assam","Hailakandi","Hailakandi","Lentil (Masur)(Whole)","Masur Dal","12/11/2019","5500","7500","7000"
"Assam","Hailakandi","Hailakandi","Rice","Common","12/11/2019","2250","2550","2450"
"Assam","Hailakandi","Hailakandi","Rice","Fine","12/11/2019","2550","3100","2850"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Bottle gourd","Other","12/11/2019","1200","1600","1400"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Cauliflower","Other","12/11/2019","400","600","500"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Cucumbar(Kheera)","Other","12/11/2019","2500","3500","3000"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Ginger(Green)","Other","12/11/2019","3000","6000","4500"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Green Chilli","Other","12/11/2019","1500","2500","2000"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Lemon","Other","12/11/2019","2000","3000","2500"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Mousambi(Sweet Lime)","Other","12/11/2019","3000","5500","4250"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Peas Wet","Other","12/11/2019","3500","5000","4250"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Pomegranate","Other","12/11/2019","5000","10000","7500"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Potato","Other","12/11/2019","400","1600","1000"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Tomato","Other","12/11/2019","2400","3600","3000"
"Chattisgarh","Koria","Manendragarh","Paddy(Dhan)(Common)","I.R. 36","12/11/2019","1840","1840","1840"
"Chattisgarh","Surajpur","Pratappur","Kodo Millet(Varagu)","Other","12/11/2019","1000","1000","1000"
"Goa","North Goa","Valpol","Arecanut(Betelnut/Supari)","Red","12/11/2019","22200","22200","22200"
"Goa","North Goa","Valpol","Arecanut(Betelnut/Supari)","Supari","12/11/2019","24700","24700","24700"
"Goa","North Goa","Valpol","Arecanut(Betelnut/Supari)","White","12/11/2019","23200","23200","23200"
"Goa","North Goa","Valpol","Coconut","Coconut","12/11/2019","750000","2400000","1575000"
"Gujarat","Amreli","Damnagar","Bhindi(Ladies Finger)","Bhindi","12/11/2019","1200","1400","1300"
"Gujarat","Amreli","Damnagar","Brinjal","Other","12/11/2019","1250","1450","1350"
"Gujarat","Amreli","Damnagar","Capsicum","Capsicum","12/11/2019","1300","1500","1400"
"Gujarat","Amreli","Damnagar","Guar","Gwar","12/11/2019","1100","1300","1200"
"Gujarat","Amreli","Damnagar","Lemon","Lemon","12/11/2019","1150","1350","1250"
